original,simplificado,calidad_de_simplificacion
"El gato subió al tejado y se quedó ahí toda la tarde.","El felino doméstico ascendió con parsimonia hacia la superficie superior de la edificación residencial, estableciendo allí su morada temporal durante la totalidad del período vespertino, permaneciendo inmóvil en contemplación silenciosa.",0.1250
"María compró pan en la tienda.","María Eugenia procedió a adquirir mediante transacción comercial una porción de producto panificado en el establecimiento mercantil de expendio de víveres y abarrotes del vecindario.",0.0875
"El niño juega en el parque con su pelota.","El infante de corta edad se encuentra desarrollando actividades lúdicas recreativas en el espacio público destinado al esparcimiento comunitario, empleando para tal fin un objeto esférico de material sintético.",0.1500
"Ana lee un libro interesante.","Anastasia se encuentra absorta en la lectura minuciosa de una obra literaria de extraordinaria capacidad de cautivación intelectual y emocional.",0.2000
"Pedro camina por la calle.","Pedro deambula majestuosamente por la vía pública, desplazándose con cadencia rítmica sobre el pavimento urbano en una progresión pedestre de contemplación ciudadana.",0.1750
"Llueve mucho hoy.","Las precipitaciones pluviales se manifiestan con extraordinaria intensidad durante la presente jornada meteorológica, configurando un escenario atmosférico de notable abundancia hídrica.",0.1125
"El perro ladra fuerte.","El can doméstico emite sonoras vocalizaciones de naturaleza territorial con extraordinaria potencia acústica, manifestando así su presencia vigilante en el perímetro de su jurisdicción habitual.",0.0750
"Hace calor en verano.","Durante la estación estival, las temperaturas ambientales alcanzan magnitudes térmicas considerablemente elevadas, generando condiciones climáticas caracterizadas por una sensación calorífica intensa y persistente.",0.1875
"Los pájaros vuelan alto.","Las aves ejecutan desplazamientos aéreos a considerables altitudes atmosféricas, surcando los cielos con elegancia migratoria en una danza celestial de extraordinaria belleza ornitológica.",0.2125
"Elena estudia matemáticas.","Elena Cristina se dedica con esmero académico al estudio minucioso de las ciencias matemáticas, profundizando en los arcanos numéricos y algebraicos con dedicación intelectual ejemplar.",0.1625
"Carlos corre rápido.","Carlos se desplaza mediante locomoción pedestre acelerada, ejecutando una progresión atlética de notable velocidad y dinamismo corporal en su travesía territorial.",0.1375
"Sandra cocina pasta.","Sandra se encuentra elaborando con destreza culinaria una preparación gastronómica a base de productos farináceos de origen cerealístico mediante procesos de cocción en medio acuoso hirviente.",0.2250
"Roberto baila salsa.","Roberto ejecuta movimientos coreográficos característicos del género musical tropical denominado salsa, desplegando destreza rítmica y gracia corporal en una manifestación artística de extraordinario vigor cultural.",0.1000
"Diana lee el periódico.","Diana se encuentra absorta en la lectura meticulosa del diario matutino, escudriñando con atención las noticias de actualidad y acontecimientos contemporáneos de relevancia periodística.",0.2375
"Tomás duerme bien.","Tomás experimenta un estado de reposo nocturno de extraordinaria placidez, sumergiéndose en los brazos de Morfeo con una tranquilidad sublime que restaura plenamente sus energías vitales.",0.1250
"Luisa planta flores.","Luisa procede a la siembra meticulosa de especies florales ornamentales, disponiendo con esmero hortícola las semillas en el sustrato terroso para propiciar el florecimiento de un jardín de belleza excepcional.",0.1750
"Andrés escucha música.","Andrés se deleita con la percepción auditiva de composiciones melódicas y armónicas, sumergiéndose en un éxtasis sonoro de extraordinaria fruición estética y contemplación musical.",0.1500
"Beatriz compra verduras.","Beatriz procede a la adquisición comercial de productos hortícolas de naturaleza vegetal, seleccionando con criterio nutricional diversas especies comestibles del reino vegetal en el establecimiento de expendio alimentario.",0.2000
"Iván nada en la piscina.","Iván ejecuta movimientos natatorios en el receptáculo acuático artificial, desplazándose con destreza hidrodinámica en el medio líquido mediante técnicas de propulsión corporal de extraordinaria elegancia atlética.",0.1125
"Raquel pinta un cuadro.","Raquel se dedica a la creación artística pictórica mediante la aplicación cromática sobre lienzo, plasmando su visión estética en una obra de arte visual de extraordinaria expresividad plástica.",0.1875
